fecha_apertura,25 de Mayo,9 de Julio,Adolfo Alsina,Adolfo Gonzales Chaves,Alberti,Almirante Brown,Arrecifes,Avellaneda,Ayacucho,Azul,Bahía Blanca,Balcarce,Baradero,Benito Juárez,Berazategui,Berisso,Bolívar,Bragado,Brandsen,Campana,Capitán Sarmiento,Carlos Casares,Carlos Tejedor,Carmen de Areco,Castelli,Cañuelas,Chacabuco,Chascomús,Chivilcoy,Colón,Coronel Dorrego,Coronel Pringles,Coronel Suárez,Coronel de Marina L. Rosales,Daireaux,Dolores,Ensenada,Escobar,Esteban Echeverría,Exaltación de la Cruz,Ezeiza,Florencio Varela,Florentino Ameghino,General Alvarado,General Alvear,General Arenales,General Belgrano,General Guido,General Juan Madariaga,General La Madrid,General Las Heras,General Lavalle,General Paz,General Pinto,General Pueyrredón,General Rodríguez,General San Martín,General Viamonte,General Villegas,Guaminí,Hipólito Yrigoyen,Hurlingham,Ituzaingó,José C. Paz,Junín,La Costa,La Matanza,La Plata,Lanús,Laprida,Las Flores,Leandro N. Alem,Lincoln,Lobería,Lobos,Lomas de Zamora,Luján,Magdalena,Maipú,Malvinas Argentinas,Mar Chiquita,Marcos Paz,Mercedes,Merlo,Monte,Monte Hermoso,Moreno,Morón,Navarro,Necochea,Olavarría,Patagones,Pehuajó,Pellegrini,Pergamino,Pila,Pilar,Pinamar ,Presidente Perón,Punta Indio,Puán,Quilmes,Ramallo,Rauch,Rivadavia,Rojas,Roque Pérez,SIN ESPECIFICAR,Saavedra,Saladillo,Salliqueló,Salto,San Andrés de Giles,San Antonio de Areco,San Cayetano,San Fernando,San Isidro,San Miguel,San Nicolás,San Pedro,San Vicente,Suipacha,Tandil,Tapalqué,Tigre,Tordillo,Tornquist,Trenque Lauquen,Tres Arroyos,Tres Lomas ,Tres de Febrero,Vicente López,Villa Gesell ,Villarino,Zárate 
2020-07-13,0.25,0.11764705882352941,0.0,0.25,0.14285714285714285,0.4357976653696498,0.1111111111111111,0.584518167456556,0.09090909090909091,0.23684210526315788,0.27884615384615385,0.14285714285714285,0.5514018691588785,0.0,0.5504087193460491,0.24074074074074073,0.0,0.21052631578947367,0.14634146341463414,0.36065573770491804,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.37209302325581395,0.2545454545454545,0.1875,0.12941176470588237,0.0,0.0,0.0,0.0,0.38636363636363635,0.18181818181818182,0.5,0.19727891156462585,0.39552238805970147,0.46434494195688225,0.1694915254237288,0.3515850144092219,0.5238678090575275,0.0,0.05263157894736842,0.0,0.0,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.047619047619047616,0.43243243243243246,0.0,0.6,0.0,0.3235294117647059,0.4298245614035088,0.5578602620087336,0.0,0.0,0.0,0.4444444444444444,0.4791666666666667,0.45021645021645024,0.391304347826087,0.2,0.1891891891891892,0.5766371681415929,0.29737609329446063,0.48132780082987553,0.0,0.0,0.0,0.0,0.0,0.0,0.4847870182555781,0.3179916317991632,0.75,0.3333333333333333,0.35755813953488375,0.0851063829787234,0.47770700636942676,0.281786941580756,0.42294322132097334,0.2222222222222222,0.0,0.43466666666666665,0.46441947565543074,0.5,0.0,0.34394904458598724,0.0,0.0,0.0,0.0,0.0,0.3721973094170404,0.0,0.3539325842696629,0.0,0.6666666666666666,0.6031851360318513,0.0,0.0,0.0,0.0,0.0,0.41379310344827586,0.4,0.0,0.0,0.4375,0.20833333333333334,0.75,0.0,0.5344827586206896,0.517632241813602,0.38676470588235295,0.175,0.225,0.2976190476190476,0.15217391304347827,0.0,0.0,0.31802120141342755,0.8333333333333334,0.0,0.0,0.2,0.0,0.6062246278755075,0.5111111111111111,0.38461538461538464,0.0,0.2154696132596685
2020-07-14,0.25,0.13333333333333333,0.0,0.2,0.3333333333333333,0.44202180376610506,0.1,0.5698757763975155,0.08571428571428572,0.19047619047619047,0.30333333333333334,0.11764705882352941,0.56,0.0,0.5704125177809388,0.25882352941176473,0.0,0.20512820512820512,0.17073170731707318,0.3698630136986301,0.3333333333333333,0.0,0.0,0.2857142857142857,0.0,0.3978494623655914,0.23809523809523808,0.17391304347826086,0.1875,0.0,0.6666666666666666,0.0,0.0,0.5072463768115942,0.18181818181818182,0.5,0.17482517482517482,0.42369020501138954,0.4784,0.18032786885245902,0.336986301369863,0.4975786924939467,0.0,0.05,0.0,0.0,0.6111111111111112,0.25,0.6666666666666666,0.05,0.40540540540540543,0.3333333333333333,0.6428571428571429,0.0,0.3147286821705426,0.42990654205607476,0.5534729878721059,0.0,0.0,0.0,0.3684210526315789,0.5,0.4557522123893805,0.37267080745341613,0.1935483870967742,0.17647058823529413,0.56194081211287,0.3163265306122449,0.5216165413533834,0.0,0.0,0.0,0.0,0.0,0.0,0.4846989141164857,0.27238805970149255,0.6666666666666666,0.3333333333333333,0.3449074074074074,0.09090909090909091,0.47641509433962265,0.4155844155844156,0.3934065934065934,0.2727272727272727,0.0,0.4448574969021066,0.48947368421052634,0.8333333333333334,0.0,0.28415300546448086,0.0,0.0,0.0,0.0,0.0,0.3974025974025974,0.0,0.34355828220858897,0.0,0.5,0.6105476673427992,0.0,0.0,0.0,0.0,0.0,0.40350877192982454,0.0,0.2,0.0,0.375,0.11538461538461539,0.5882352941176471,0.25,0.4884210526315789,0.5119331742243437,0.39389736477115117,0.1951219512195122,0.2777777777777778,0.3595505617977528,0.16666666666666666,0.0,0.0,0.32207207207207206,0.5833333333333334,0.0,0.0,0.0,0.0,0.6145552560646901,0.5225225225225225,0.42857142857142855,0.0,0.20512820512820512
2020-07-15,0.21739130434782608,0.11764705882352941,0.0,0.2,0.4,0.4491682070240296,0.08333333333333333,0.5718608169440242,0.1,0.14285714285714285,0.2972027972027972,0.12121212121212122,0.5922330097087378,0.0,0.5792426367461431,0.3333333333333333,0.0,0.11538461538461539,0.15555555555555556,0.31125827814569534,0.4166666666666667,0.0,0.0,0.14285714285714285,0.25,0.3669724770642202,0.2835820895522388,0.125,0.21739130434782608,0.0,0.6666666666666666,0.0,0.0,0.5116279069767442,0.14285714285714285,0.5492957746478874,0.19718309859154928,0.41561181434599154,0.4901065449010654,0.18032786885245902,0.3333333333333333,0.497624703087886,0.0,0.058823529411764705,0.0,0.0,0.5882352941176471,0.25,0.6666666666666666,0.05555555555555555,0.4117647058823529,0.3333333333333333,0.5833333333333334,0.0,0.32947976878612717,0.40408163265306124,0.5550847457627118,0.0,0.0,0.0,0.29411764705882354,0.4882943143812709,0.4885844748858447,0.3551020408163265,0.1875,0.1875,0.5724185724185724,0.3189227498228207,0.5483568075117371,0.16666666666666666,0.0,0.0,0.0,0.25,0.0,0.51171875,0.23961661341853036,0.6,0.0,0.3923076923076923,0.09090909090909091,0.4396551724137931,0.42201834862385323,0.3914405010438413,0.24,0.0,0.46540880503144655,0.4948630136986301,0.375,0.1111111111111111,0.2676056338028169,0.0,0.0,0.0,0.0,0.0,0.38388625592417064,0.0,0.32432432432432434,0.0,0.2,0.606514657980456,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.125,0.0,0.3466666666666667,0.09090909090909091,0.6842105263157895,0.4,0.48073022312373226,0.5077105575326216,0.4156378600823045,0.21052631578947367,0.36363636363636365,0.4019607843137255,0.15625,0.0,0.0,0.33188248095756256,0.5833333333333334,0.0,0.0,0.0,0.0,0.6344086021505376,0.49372384937238495,0.2727272727272727,0.3333333333333333,0.19689119170984457
2020-07-16,0.2,0.17647058823529413,0.0,0.2,0.4444444444444444,0.46517213771016813,0.08333333333333333,0.5606276747503567,0.06382978723404255,0.08333333333333333,0.3154121863799283,0.11904761904761904,0.660377358490566,0.0,0.5783783783783784,0.2994652406417112,0.0,0.07142857142857142,0.10869565217391304,0.32335329341317365,0.4444444444444444,0.0,0.0,0.13636363636363635,0.25,0.3602941176470588,0.2987012987012987,0.2222222222222222,0.2235294117647059,0.0,0.8571428571428571,0.0,0.0,0.4946236559139785,0.1111111111111111,0.5822784810126582,0.19161676646706588,0.3956692913385827,0.4825662482566248,0.14545454545454545,0.30927835051546393,0.5120614035087719,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.05263157894736842,0.2903225806451613,0.3333333333333333,0.5714285714285714,0.0,0.29918032786885246,0.39748953974895396,0.5628192032686414,0.0,0.0,0.0,0.29411764705882354,0.4918032786885246,0.4895397489539749,0.3770833333333333,0.14285714285714285,0.25,0.585391304347826,0.33113020489094513,0.549469964664311,0.25,0.0,0.0,0.0,0.2,0.2727272727272727,0.5119047619047619,0.22330097087378642,0.4,0.0,0.39285714285714285,0.08695652173913043,0.44052863436123346,0.4692982456140351,0.40962671905697445,0.25,0.0,0.4677804295942721,0.5109034267912772,0.32142857142857145,0.18181818181818182,0.23671497584541062,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.30625,0.0,0.2,0.6048808832074375,0.0,0.0,0.0,0.0,0.0,0.48148148148148145,0.0,0.1,0.0,0.3291139240506329,0.21212121212121213,0.7222222222222222,1.0,0.5029239766081871,0.48814655172413796,0.3918918918918919,0.2903225806451613,0.3880597014925373,0.43478260869565216,0.4166666666666667,0.0,0.0,0.32694248234106965,0.5833333333333334,0.0,0.0,0.0,0.0,0.6368909512761021,0.483402489626556,0.25,0.25,0.21105527638190955
2020-07-17,0.21739130434782608,0.21052631578947367,0.0,0.25,0.45454545454545453,0.47300215982721383,0.125,0.5670650730411687,0.0625,0.05,0.32971014492753625,0.17391304347826086,0.5824175824175825,0.0,0.5839598997493735,0.34065934065934067,0.0,0.11538461538461539,0.15384615384615385,0.32432432432432434,0.47619047619047616,0.1111111111111111,0.0,0.2,0.16666666666666666,0.3380281690140845,0.25,0.2,0.29896907216494845,0.0,0.6153846153846154,0.0,0.0,0.47115384615384615,0.125,0.5376344086021505,0.21511627906976744,0.36745886654478976,0.4785992217898833,0.22807017543859648,0.26666666666666666,0.5068205666316894,0.0,0.0,0.0,0.0,0.6190476190476191,0.0,0.0,0.0,0.26666666666666666,1.0,0.6666666666666666,0.0,0.29049531459170014,0.38976377952755903,0.5730442978322338,0.0,0.0,0.0,0.26666666666666666,0.4766081871345029,0.5038167938931297,0.3815261044176707,0.10526315789473684,0.2571428571428571,0.5819453697534976,0.33989501312335957,0.5636070853462157,0.25,0.0,0.0,0.0,0.2,0.2727272727272727,0.5140905209222887,0.22429906542056074,0.5,0.0,0.41002949852507375,0.0851063829787234,0.43824701195219123,0.5607843137254902,0.43317972350230416,0.3,0.2,0.4561586638830898,0.5095168374816984,0.3103448275862069,0.1875,0.1784037558685446,0.0,0.0,0.0,0.037037037037037035,0.0,0.3617021276595745,0.0,0.31137724550898205,0.6,0.2,0.6236897274633124,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.0,0.34177215189873417,0.21052631578947367,0.782608695652174,1.0,0.5081967213114754,0.47058823529411764,0.3967391304347826,0.2916666666666667,0.3894736842105263,0.47540983606557374,0.4166666666666667,0.0,0.0,0.33667883211678834,0.5,0.0,0.125,0.14285714285714285,0.0,0.6296296296296297,0.4906054279749478,0.2,0.3333333333333333,0.233502538071066
2020-07-18,0.18867924528301888,0.23809523809523808,0.0,0.2,0.2,0.47925311203319504,0.125,0.5596330275229358,0.05405405405405406,0.075,0.3164983164983165,0.15384615384615385,0.5806451612903226,0.16666666666666666,0.6002587322121604,0.31958762886597936,0.0,0.11538461538461539,0.225,0.3114754098360656,0.4666666666666667,0.1111111111111111,0.0,0.17647058823529413,0.14285714285714285,0.36627906976744184,0.23170731707317074,0.2,0.26666666666666666,0.0,0.625,0.0,0.0,0.45689655172413796,0.0,0.5631067961165048,0.19393939393939394,0.3428030303030303,0.48739495798319327,0.2542372881355932,0.26842105263157895,0.5058572949946751,0.0,0.0,0.0,0.0,0.6190476190476191,0.0,0.0,0.0,0.21212121212121213,1.0,0.631578947368421,0.0,0.2707736389684814,0.38235294117647056,0.5708989805375347,0.0,0.0,0.0,0.23076923076923078,0.4857142857142857,0.5037593984962406,0.3857758620689655,0.05128205128205128,0.2777777777777778,0.5769230769230769,0.35136855506047104,0.5700787401574803,0.25,0.0,0.0,0.0,0.2,0.2727272727272727,0.5228471001757469,0.2182410423452769,0.5714285714285714,0.0,0.41063515509601184,0.023809523809523808,0.4330708661417323,0.56640625,0.426078971533517,0.35294117647058826,0.125,0.4578790882061447,0.5076495132127955,0.3103448275862069,0.2,0.15865384615384615,0.0,0.0,1.0,0.037037037037037035,0.0,0.3470715835140998,0.14285714285714285,0.3464052287581699,0.5,0.2,0.6180061037639878,0.0,0.0,0.0,0.0,0.0,0.5340909090909091,0.0,0.2,0.0,0.34177215189873417,0.2222222222222222,0.8571428571428571,1.0,0.4830188679245283,0.4789915966386555,0.4011299435028249,0.28,0.3854166666666667,0.47244094488188976,0.43478260869565216,0.05128205128205128,0.0,0.3386944181646168,0.3888888888888889,0.3333333333333333,0.125,0.1111111111111111,0.0,0.6221719457013575,0.4697286012526096,0.2857142857142857,0.3333333333333333,0.24705882352941178
2020-07-19,0.21052631578947367,0.23809523809523808,0.0,0.2,0.18518518518518517,0.5039164490861618,0.4166666666666667,0.5833333333333334,0.05128205128205128,0.037037037037037035,0.2747603833865815,0.20454545454545456,0.5913978494623656,0.16666666666666666,0.6166666666666667,0.32663316582914576,0.1,0.125,0.21052631578947367,0.31351351351351353,0.5333333333333333,0.1,0.0,0.05263157894736842,0.14285714285714285,0.34705882352941175,0.26881720430107525,0.2727272727272727,0.29906542056074764,0.0,0.5882352941176471,0.0,0.0,0.4727272727272727,0.0,0.5531914893617021,0.20625,0.33634719710669075,0.47577639751552797,0.30158730158730157,0.28132387706855794,0.513733468972533,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.2727272727272727,1.0,0.6111111111111112,0.0,0.27485380116959063,0.3546099290780142,0.577758470894874,0.0,0.0,0.0,0.2,0.5126760563380282,0.5221843003412969,0.38085106382978723,0.02702702702702703,0.23076923076923078,0.5745784695201037,0.3509933774834437,0.5682852807283764,0.25,0.0,0.0,0.0,0.2,0.4117647058823529,0.5254529767040552,0.2251655629139073,0.6363636363636364,0.0,0.417910447761194,0.05555555555555555,0.4308300395256917,0.5658914728682171,0.42857142857142855,0.3888888888888889,0.1,0.46331658291457284,0.5210884353741496,0.275,0.2,0.15865384615384615,0.0,0.0,0.7142857142857143,0.03225806451612903,0.0,0.34444444444444444,0.14285714285714285,0.36666666666666664,0.5,0.16666666666666666,0.6253761283851554,0.0,0.0,0.0,0.0,0.0,0.5268817204301075,0.0,0.2,0.0,0.352112676056338,0.1951219512195122,0.8421052631578947,1.0,0.5208711433756806,0.4732472324723247,0.4251655629139073,0.1111111111111111,0.38461538461538464,0.46825396825396826,0.5833333333333334,0.06060606060606061,0.0,0.34400731930466605,0.2857142857142857,0.5,0.125,0.1111111111111111,0.0,0.630242825607064,0.4768339768339768,0.375,0.3,0.2802197802197802
2020-07-20,0.2222222222222222,0.23809523809523808,0.0,0.0,0.1724137931034483,0.526875,0.375,0.586483390607102,0.05714285714285714,0.04081632653061224,0.28,0.26666666666666666,0.5901639344262295,0.16666666666666666,0.6225490196078431,0.3686635944700461,0.26666666666666666,0.13636363636363635,0.21052631578947367,0.30851063829787234,0.5,0.09090909090909091,0.0,0.1111111111111111,0.16666666666666666,0.35789473684210527,0.25773195876288657,0.3235294117647059,0.24545454545454545,0.0,0.45454545454545453,0.0,0.0,0.5327102803738317,0.0,0.625,0.19148936170212766,0.3511705685618729,0.5071258907363421,0.2878787878787879,0.32564102564102565,0.5285285285285285,0.0,0.09090909090909091,0.0,0.0,0.46153846153846156,0.0,0.0,0.0,0.27586206896551724,1.0,0.6363636363636364,0.0,0.2865583456425406,0.3277027027027027,0.5947063688999172,0.0,0.0,0.0,0.1,0.538860103626943,0.5254777070063694,0.374749498997996,0.05263157894736842,0.16216216216216217,0.5782717595491547,0.37339841366687004,0.5796363636363636,0.25,0.0,0.0,0.0,0.16666666666666666,0.3888888888888889,0.539440203562341,0.2523961661341853,0.7692307692307693,0.0,0.40285714285714286,0.0625,0.44129554655870445,0.6045454545454545,0.44481327800829873,0.3684210526315789,0.1,0.47026022304832715,0.5305851063829787,0.2682926829268293,0.21052631578947367,0.14423076923076922,0.125,0.0,0.7692307692307693,0.038461538461538464,0.0,0.3619246861924686,0.2857142857142857,0.3767123287671233,0.42857142857142855,0.0,0.6297348484848485,0.75,0.0,0.0,0.0,0.2222222222222222,0.5113636363636364,0.0,0.25,0.0,0.38181818181818183,0.16666666666666666,0.75,1.0,0.5221843003412969,0.48053097345132745,0.43781725888324874,0.17391304347826086,0.391304347826087,0.4444444444444444,0.45,0.05714285714285714,0.0,0.3193629505448449,0.2857142857142857,0.3333333333333333,0.07692307692307693,0.1111111111111111,0.0,0.6342737722048067,0.4803921568627451,0.2857142857142857,0.4444444444444444,0.25
2020-07-21,0.21428571428571427,0.2,0.0,0.0,0.15625,0.5518697225572979,0.42857142857142855,0.5915813424345847,0.03225806451612903,0.0392156862745098,0.2597864768683274,0.26666666666666666,0.5616438356164384,0.4,0.6123936816524909,0.36818181818181817,0.2413793103448276,0.09523809523809523,0.19444444444444445,0.2905027932960894,0.5384615384615384,0.125,0.0,0.13636363636363635,0.16666666666666666,0.3967391304347826,0.23076923076923078,0.40625,0.2543859649122807,0.0,0.42857142857142855,0.0,0.0,0.45454545454545453,0.0,0.6158940397350994,0.20567375886524822,0.3425324675324675,0.5127272727272727,0.32142857142857145,0.35406698564593303,0.5355086372360844,0.0,0.08333333333333333,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.25925925925925924,0.0,0.6363636363636364,0.0,0.28243243243243243,0.3217665615141956,0.5975409836065574,0.0,0.0,0.0,0.16666666666666666,0.5172413793103449,0.4894894894894895,0.395985401459854,0.05128205128205128,0.16666666666666666,0.584970377299657,0.3815165876777251,0.5652509652509653,0.25,0.0,0.0,0.0,0.2857142857142857,0.4375,0.5528255528255528,0.27300613496932513,0.7333333333333333,0.0,0.4116788321167883,0.0625,0.4602510460251046,0.5738396624472574,0.4729064039408867,0.3125,0.1,0.4637281910009183,0.5181208053691275,0.17073170731707318,0.2,0.1497584541062802,0.14285714285714285,0.0,0.7692307692307693,0.037037037037037035,0.0,0.3466135458167331,0.3333333333333333,0.4507042253521127,0.375,0.0,0.6360500215610176,0.75,0.0,0.0,0.0,0.3,0.5106382978723404,0.0,0.26666666666666666,0.0,0.4642857142857143,0.20930232558139536,0.6666666666666666,0.5,0.5132450331125827,0.46689019279128247,0.442643391521197,0.17391304347826086,0.4470588235294118,0.4492753623188406,0.4074074074074074,0.0625,0.0,0.33148295003965106,0.42857142857142855,0.25,0.09090909090909091,0.125,0.0,0.624113475177305,0.4828897338403042,0.125,0.4,0.28191489361702127
2020-07-22,0.22641509433962265,0.20833333333333334,0.0,0.0,0.14705882352941177,0.5562835020845741,0.375,0.5993589743589743,0.058823529411764705,0.0392156862745098,0.3007246376811594,0.25806451612903225,0.4788732394366197,0.4,0.6261574074074074,0.3782608695652174,0.1891891891891892,0.10526315789473684,0.21052631578947367,0.2934131736526946,0.5909090909090909,0.16666666666666666,0.0,0.15384615384615385,0.0,0.441025641025641,0.17543859649122806,0.5476190476190477,0.19310344827586207,0.0,0.44,0.0,0.0,0.4845360824742268,0.0,0.6168831168831169,0.24793388429752067,0.3685897435897436,0.4983853606027987,0.3522727272727273,0.37445887445887444,0.5531724754244861,0.0,0.05263157894736842,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.25925925925925924,0.5,0.6,0.0,0.2608695652173913,0.34121621621621623,0.6132075471698113,0.0,0.0,0.0,0.3333333333333333,0.5294117647058824,0.5041551246537396,0.41144901610017887,0.02631578947368421,0.19444444444444445,0.5846468184471687,0.3973240255962769,0.5632958801498127,0.0,0.0,0.0,0.0,0.2,0.48,0.541501976284585,0.3054662379421222,0.7894736842105263,0.0,0.39939024390243905,0.05263157894736842,0.5,0.5633187772925764,0.4870967741935484,0.4,0.125,0.47166521360069746,0.5394736842105263,0.18181818181818182,0.17647058823529413,0.14634146341463414,0.125,0.3333333333333333,0.5882352941176471,0.034482758620689655,0.5,0.3588235294117647,0.5,0.5414012738853503,0.5714285714285714,0.0,0.6534369885433715,0.75,0.0,0.0,0.0,0.36363636363636365,0.5058823529411764,0.0,0.38461538461538464,1.0,0.5333333333333333,0.24528301886792453,0.6,0.0,0.5252032520325203,0.4983922829581994,0.45382585751978893,0.15384615384615385,0.375,0.45384615384615384,0.3793103448275862,0.05263157894736842,0.0,0.3724137931034483,0.42857142857142855,0.3333333333333333,0.25,0.1,0.0,0.629889669007021,0.5030181086519114,0.1,0.3333333333333333,0.30049261083743845
2020-07-23,0.2909090909090909,0.17391304347826086,0.0,0.0,0.08571428571428572,0.5535823637477036,0.3684210526315789,0.6093117408906883,0.07142857142857142,0.03571428571428571,0.29936305732484075,0.28,0.42857142857142855,0.4,0.6186252771618626,0.40869565217391307,0.1590909090909091,0.06666666666666667,0.26666666666666666,0.28289473684210525,0.5,0.16666666666666666,0.5,0.15384615384615385,0.2857142857142857,0.44221105527638194,0.16964285714285715,0.6206896551724138,0.13953488372093023,0.0,0.36,0.0,0.0,0.5204081632653061,0.0,0.5960264900662252,0.32142857142857145,0.3625,0.49107142857142855,0.3695652173913043,0.416044776119403,0.5645724258289704,0.0,0.05263157894736842,0.0,0.0,0.5555555555555556,0.0,0.2,0.0,0.3333333333333333,0.5,0.5714285714285714,0.0,0.30166880616174585,0.3514376996805112,0.6293979671618452,0.0,0.0,0.0,0.5714285714285714,0.5513126491646778,0.5039787798408488,0.40341880341880343,0.024390243902439025,0.1388888888888889,0.585917125470878,0.4097877358490566,0.5803443328550932,0.0,0.0,0.0,0.0,0.2,0.5,0.543247344461305,0.3198757763975155,0.875,0.0,0.40705128205128205,0.05263157894736842,0.46484375,0.45726495726495725,0.5031152647975078,0.35294117647058826,0.125,0.4752233956133225,0.536813922356091,0.25925925925925924,0.14285714285714285,0.13953488372093023,0.16666666666666666,0.3,0.5882352941176471,0.03225806451612903,0.5,0.3653483992467043,0.5,0.6057142857142858,0.5714285714285714,0.0,0.6682789197904071,0.8181818181818182,0.0,0.0,0.0,0.6666666666666666,0.5164835164835165,0.0,0.42857142857142855,0.5,0.6285714285714286,0.20408163265306123,0.6470588235294118,0.0,0.5226209048361935,0.4835082458770615,0.46589446589446587,0.1724137931034483,0.375,0.42857142857142855,0.2916666666666667,0.06060606060606061,0.0,0.3782712133227597,0.42857142857142855,0.25,0.2,0.1111111111111111,0.0,0.6320855614973262,0.4970178926441352,0.1111111111111111,0.2727272727272727,0.2878787878787879
2020-07-24,0.3333333333333333,0.15,0.0,0.0,0.05405405405405406,0.5422667501565435,0.2222222222222222,0.6251180358829084,0.07142857142857142,0.020833333333333332,0.2969187675070028,0.13636363636363635,0.43137254901960786,0.36363636363636365,0.5981688708036622,0.4117647058823529,0.12962962962962962,0.0,0.2777777777777778,0.2536231884057971,0.4090909090909091,0.0,0.5,0.4090909090909091,0.5,0.45701357466063347,0.19811320754716982,0.6851851851851852,0.09714285714285714,0.0,0.38095238095238093,0.0,0.0,0.5652173913043478,0.0,0.6267605633802817,0.29508196721311475,0.3653543307086614,0.4995004995004995,0.33980582524271846,0.44565217391304346,0.5725524475524476,0.0,0.047619047619047616,0.0,0.0,0.4,0.0,0.16666666666666666,0.0,0.3076923076923077,0.5,0.4,0.0,0.30864197530864196,0.3448275862068966,0.6352154531946508,0.0,0.0,0.0,0.5555555555555556,0.5853658536585366,0.48186528497409326,0.4179357021996616,0.03125,0.07692307692307693,0.5970446149474282,0.41431792559188274,0.598458304134548,0.0,0.0,0.0,0.0,0.2,0.5384615384615384,0.5440751445086706,0.36419753086419754,0.7931034482758621,0.0,0.3984615384615385,0.058823529411764705,0.5116279069767442,0.3508771929824561,0.5026375282592314,0.2857142857142857,0.0,0.5046102263202011,0.5305555555555556,0.34285714285714286,0.09090909090909091,0.1509433962264151,0.1,0.3,0.5714285714285714,0.038461538461538464,1.0,0.3648148148148148,0.5,0.6145251396648045,0.16666666666666666,0.0,0.6663990365315134,0.9090909090909091,0.0,0.0,0.16666666666666666,0.5,0.5208333333333334,0.0,0.4375,0.5,0.5555555555555556,0.17647058823529413,0.5882352941176471,0.0,0.5264,0.4929889298892989,0.4652605459057072,0.15625,0.4,0.47368421052631576,0.2916666666666667,0.05714285714285714,0.0,0.3649402390438247,0.4166666666666667,0.3333333333333333,0.1,0.0,0.0,0.6325167037861915,0.46808510638297873,0.09090909090909091,0.25,0.28640776699029125
2020-07-25,0.39285714285714285,0.10526315789473684,0.0,0.0,0.08695652173913043,0.5435056746532156,0.20689655172413793,0.6236559139784946,0.07692307692307693,0.020833333333333332,0.30985915492957744,0.13636363636363635,0.4,0.25,0.5972222222222222,0.4224137931034483,0.12727272727272726,0.0,0.18181818181818182,0.2482758620689655,0.42105263157894735,0.0,0.5,0.425,0.5714285714285714,0.45161290322580644,0.21904761904761905,0.6785714285714286,0.08241758241758242,0.0,0.35,0.0,0.0,0.6075949367088608,0.0,0.6194029850746269,0.32075471698113206,0.35968992248062015,0.49034749034749037,0.3469387755102041,0.43865546218487395,0.5737308622078968,0.0,0.041666666666666664,0.0,0.0,0.42857142857142855,0.0,0.2,0.0,0.2692307692307692,0.5,0.6153846153846154,0.0,0.32894736842105265,0.3435374149659864,0.6392592592592593,0.0,0.0,0.0,0.5,0.5811764705882353,0.5049751243781094,0.43594009983361065,0.06060606060606061,0.05263157894736842,0.5981941309255079,0.41949860724233984,0.5968882602545968,0.0,0.0,0.0,0.0,0.25,0.5384615384615384,0.5345060893098782,0.3673469387755102,0.7941176470588235,0.0,0.40559440559440557,0.05,0.51953125,0.33905579399141633,0.5170660856935366,0.3333333333333333,0.0,0.5172981878088962,0.5190217391304348,0.4186046511627907,0.0,0.17256637168141592,0.07142857142857142,0.2222222222222222,0.5263157894736842,0.08695652173913043,0.8,0.3664825046040516,0.38461538461538464,0.582010582010582,0.2,0.0,0.6620662460567823,0.8461538461538461,0.0,0.0,0.16666666666666666,0.5,0.5108695652173914,0.0,0.4,0.5,0.5555555555555556,0.19607843137254902,0.6111111111111112,0.0,0.5339652448657188,0.48056801195814647,0.475258918296893,0.16666666666666666,0.4,0.4755244755244755,0.2916666666666667,0.0,0.0,0.37325038880248834,0.6666666666666666,0.2,0.09302325581395349,0.0,0.0,0.6443468715697036,0.49053030303030304,0.07692307692307693,0.18181818181818182,0.2946859903381642
